id,statement,label,speaker,party_affiliation,subject,context,pants_on_fire_counts,false_counts,barely_true_counts,half_true_counts,mostly_true_counts,label_id
8731.json,"Under a proposed bill, a $100,000 homes flood insurance premium would be maybe $200 or $300 annually.",false,gus-bilirakis,republican,"florida,housing",a Bay News 9 interview,0,1,1,0,1,1
2800.json,Georgias high school graduation rate topped 80 percent in 2010.,half-true,sonny-perdue,republican,education,speeches at schools across the state,0,0,0,1,0,3
9329.json,We were the last flag flying in Benghazi.,false,trey-gowdy,republican,"foreign-policy,terrorism","an interview on ""Fox News Sunday""",0,1,1,0,0,1
102.json,"""I was the first presidential candidate to lay out a specific, truly universal health care plan.""",false,john-edwards,democrat,health-care,"Hanover, N.H.",1,2,0,4,4,1
10351.json,"Says President Barack Obama got a pass over controversalremarks byRev. Jeremiah Wright, while a12-year-old speech by House Majority Whip Steve Scalise hasblown up into a national story.",false,newt-gingrich,republican,pundits,"an interview on CBS's ""Face the Nation""",11,15,16,20,10,1
13244.json,Says Donald Trumps tax plan gives the wealthy and corporations more than the Bush tax cuts by at least a factor of two.,true,hillary-clinton,democrat,taxes,the second presidential debate,7,29,40,69,76,5
11053.json,25 percent of federal inmates are noncitizens.,mostly-true,larry-oconnor,republican,immigration,"an interview on ""The Real Story with Gretchen Carlson"" on Fox News",0,0,0,0,1,4
528.json,"""John McCain stood up to the president and sounded the alarm on global warming ... five years ago.""",true,john-mccain,republican,environment,a TV ad,8,39,31,31,37,5
900.json,"If Obama's economic plan creates 600,000 new government jobs, ""that's about the size of the post office work force.""",mostly-true,mitch-mcconnell,republican,"federal-budget,stimulus",in a news interview,0,6,7,5,7,4
5546.json,"In 1950, the average American lived for 68 years and 16 workers supported one retiree. Today, the average life expectancy is 78 and three workers support one retiree.",true,frank-wolf,republican,"retirement,social-security",a news release,0,0,1,0,0,5
9076.json,Reporters rehearse questions with White House press (secretary).,pants-fire,drudge-report,none,pundits,a post on their website,2,0,0,0,0,0
12646.json,40% of Americans know someone who has been killed by a gun.,mostly-true,debbie-wasserman-schultz,democrat,"guns,public-safety,market-regulation",a Medium post,3,9,7,8,15,4
1615.json,Florida's cost for the Medicaid expansion will be $1.6 billion a year or more.,half-true,bill-mccollum,republican,"health-care,state-budget",a press conference,1,1,2,2,0,3
13438.json,"Republican gubernatorial candidate Eric Greitens spent another $600,000 on image consultants to rebrand his charity, The Mission Continues.",half-true,chris-koster,democrat,candidates-biography,a campaign ad,0,0,0,2,3,3
9187.json,Obamacare is costing 2 million jobs.,barely-true,laura-ingraham,none,"health-care,jobs","comments on ABC's ""This Week""",1,5,2,1,0,2
13014.json,Donald Trumps been completely consistent about his plan for nonviolent undocumented immigrants.,false,mike-pence,republican,"candidates-biography,immigration","an interview on ""Meet the Press""",0,10,8,12,5,1
8300.json,Weve used (generally accepted accounting principles) here in this building the last two years.,barely-true,dale-kooyenga,republican,"state-budget,state-finances,states",a legislative hearing,0,1,1,2,2,2
2012.json,"The U.S. ""only ranks 25th worldwide on defense spending as a percentage of GDP.""",barely-true,sarah-palin,republican,"federal-budget,foreign-policy,military",a Facebook posting,6,19,9,9,6,2
3636.json,Every person on death row was a foster kid.,false,steve-wise,republican,"children,families,florida,public-service",in a Senate Education PreK-12 committee hearing,0,1,0,1,0,1
3905.json,Roughly 700 Georgians die needlessly each year because they are too far from a trauma center.,barely-true,kevin-bloye,none,polls,AJC story,0,0,1,0,0,2
8231.json,"Says every day of a special session costs taxpayers $40,000.",false,sal-esquivel,republican,government-efficiency,an opinion article,0,1,0,0,0,1
5125.json,"Says over the last two years, New Jersey Schools Development Authority employees have not started or completed one single school project, and Im not talking about major school renovation. Im talking about replacing boilers, roofs.",false,david-sciarra,none,education,testimony before the state Assembly Budget Committee,0,1,0,0,1,1
12347.json,Theres no data that says a gun-free zone has saved lives.,mostly-true,michael-oneill,none,guns,a legislative hearing ,0,0,0,0,1,4
2899.json,"In 2009, Jim Doyle and the Democrats rushed through a budget repair bill with billions in tax increases and held no public hearings.",barely-true,jeff-fitzgerald,republican,"state-budget,taxes",a news release,2,0,2,1,2,2
9220.json,Liberals have figured out a Facebook algorithm and all the people getting banned from Facebook are somehow conservatives.,false,todd-starnes,republican,pundits,"an interview on ""Hannity""",0,2,0,0,0,1
5068.json,"I think with the exception of the last year or maybe the last two years, we were at 100 percent when it came to contributing to the Providence pension fund.",mostly-true,david-cicilline,democrat,"city-budget,pensions,retirement,taxes",an appearance on WPRI's Newsmakers,1,4,7,5,4,4
9124.json,"A Koch brothers group is going to college campuses, giving away free booze to try to bribe young folks out of getting health insurance.",half-true,organizing-action,democrat,"Alcohol,health-care",a fundraising email,0,0,0,1,1,3
3816.json,Says the United States is the Saudi Arabia of coal.,mostly-true,eric-cantor,republican,energy,a press conference,4,6,9,4,4,4
4187.json,"Thirty-four of the last 44 (debt ceiling increases) have been for less than a year. So, this notion that short-term is somehow the exception, its actually the rule.",true,rob-portman,republican,"deficit,federal-budget",an interview on MSNBC,1,5,3,11,11,5
659.json,"Biden is ""one of the least wealthy members of the U.S. Senate.""",true,howard-dean,democrat,candidates-biography,a TV interview,0,4,1,1,2,5
6860.json,Says she is a registered nurse.,false,laurie-monnes-anderson,democrat,candidates-biography,in voters' guide,0,1,0,0,0,1
8156.json,Says President Obama just granted all of Congress an exception to Obamacare.,false,ted-cruz,republican,"congress,health-care","a speech to the Family Leadership Summit in Ames, Iowa",8,33,36,15,19,1
2855.json,On high-speed rail.,false,tom-petri,republican,"federal-budget,state-budget,transportation",a news release ,0,1,0,0,0,1
4676.json,GOP presidential hopeful Herman Cain called Ron Pauls followers ignorant.,false,ron-paul,republican,campaign-advertising,the Republican presidential debate at Dartmouth College in New Hampshire,3,8,5,8,8,1
10135.json,"Ed Gillespies firm even lobbied for five foreign governments, including a dictator now awaiting trial for war crimes.",half-true,mark-warner,democrat,"candidates-biography,message-machine-2014",a TV ad.,0,1,3,6,3,3
4371.json,"Says that in 2009 ExxonMobil paid no federal income taxes, received a $156 million rebate.",false,dennis-kucinich,democrat,"corporations,taxes",a television interview,0,3,1,4,6,1
7287.json,Says Ohios economic recovery started in February 2010.,mostly-true,ted-strickland,democrat,economy,a news release,1,6,2,7,4,4
99.json,"""One man opposed a flawed strategy in Iraq. One man had the courage to call for change. One man didn't play politics with the truth.""",true,john-mccain,republican,iraq,a TV ad,8,39,31,31,37,5
9412.json,Public display of a long rifle is perfectly legal in Texas.,true,mike-hashimoto,none,"government-regulation,guns,legal-issues",a commentary,0,0,0,0,0,5
3049.json,Says the claims that Texas faces a $27 billion shortfall are flat-out false.,false,talmadge-heflin,republican,state-budget,a blog post.,0,1,0,0,0,1
328.json,"Romney left Massachusetts ""with a $245-million debt because of the big government-mandated health care system.""",barely-true,john-mccain,republican,health-care,"a debate in Simi Valley, Calif.",8,39,31,31,37,2
13366.json,Says Marco Rubio has a 98 percent voting record with the Koch brothers.,mostly-true,patrick-murphy,democrat,voting-record,a U.S. Senate debate ,0,1,2,4,5,4
3440.json,Says the states rainy day fund is our insurance policy against a major natural disaster.,barely-true,rick-perry,republican,"state-budget,taxes",a conference call.,18,30,30,42,23,2
10073.json,Four million women have fallen into poverty in the last six years.,barely-true,david-perdue,republican,"poverty,women",a U.S. Senate debate,1,1,5,4,5,2
2817.json,"Sewer backups into basements caused the vast majority of the damage to homes and buildings in Milwaukees July floods, but federal flood insurance doesnt cover them.",half-true,jim-bohl,none,environment,a news release,0,0,1,1,0,3
4219.json,The (State Board of Administration) transparency issue got a great airing the last legislative session.,false,ash-williams,none,"financial-regulation,state-finances,transparency",response to a question from Gov. Rick Scott,0,1,0,0,0,1
3153.json,Says there are a half a trillion dollars in cuts to Medicare that are going to go in place as a result of health care reform.,barely-true,jim-renacci,republican,"health-care,medicare",a town hall forum,1,3,5,4,1,2
6838.json,"Were up 123,000 jobs over the last year and three-quarters. Were actually, according to the Bureau of Labor statistics, down 500 ... auto jobs in Ohio.",mostly-true,john-kasich,republican,"economy,jobs",a television interview,3,8,9,10,18,4
6146.json,"Gov. Romney was very clear, he would veto the DREAM Act.",true,david-plouffe,democrat,immigration,a comment on 'Fox News Sunday',0,0,1,0,2,5
7132.json,National studies are already showing the negative effects that the health care law is having on businesses and our economy. Businesses across the country are raising their prices (or) cutting jobs as a result of the added cost.,false,pam-bondi,republican,"economy,health-care,jobs,workers",remarks to the Florida Chamber of Commerce,0,2,2,0,4,1
8666.json,The new Atlanta Braves stadium will require no tax increase for homeowners and provide $3 million annually for Cobb County schools.,half-true,revitalize-cobb,none,"sports,taxes",a flier,0,0,1,1,0,3
3123.json,The federal government now tells us which light bulbs to buy.,barely-true,michele-bachmann,republican,"energy,market-regulation",a response to the State of the Union address,16,22,8,6,4,2
10911.json,Fox News barely covered (the Duggar family) scandal until Megyn Kelly was able to secure this interview.,true,brian-stelter,none,"pop-culture,pundits","an interview on ""CNN Tonight""",0,0,0,0,0,5
9145.json,A poll taken a few months ago found 70 percent approval or higher for the Act 10 collective bargaining law.,false,scott-walker,republican,"city-government,county-government,education,health-care,pensions,polls,state-budget,state-finances,taxes,unions",an interview,11,41,26,32,40,1
4599.json,The Milwaukee County sheriffs department plays only a limited role as a traditional law enforcement agency and in 2009 reported far fewer crimes to the FBI than the University of Wisconsin-Milwaukee police did.,half-true,chris-abele,none,"county-budget,county-government,crime",a speech,2,5,3,4,4,3
7505.json,"Says, I-205, six miles of which runs through my district, already carries more traffic than I-5.",true,jackie-dingfelder,democrat,"environment,infrastructure,state-budget,transportation",a floor speech,0,0,0,0,0,5
316.json,"""But it was Hillary Clinton, in an interview with Tom Brokaw, who quote 'paid tribute' to Ronald Reagan's economic and foreign policy.""",half-true,barack-obama,democrat,history,a radio ad in South Carolina,9,71,70,160,163,3
1519.json,"""Since 1981, reconciliation has been used 21 times. Most of it's been used by Republicans.""",true,harry-reid,democrat,"bipartisanship,health-care",the televised health care summit,3,5,4,3,7,5
11557.json,Says President Dwight Eisenhower moved 1.5 million illegal immigrants out of this country.,half-true,donald-trump,republican,"history,immigration",the Fox Business Network debate,61,114,63,51,37,3
9089.json,There are over 100 pipelines between the United States and Canada right now.,barely-true,jeb-bush,republican,"climate-change,energy,environment",public remarks,2,5,17,17,24,2
3349.json,"Weve seen local union after local union rush to their school boards, their city councils, their technical school boards and rush through contracts in the past two weeks that had no contributions to the pension and no contribution to health care.",barely-true,scott-walker,republican,"labor,state-budget",an appearance on a TV interview program,11,41,26,32,40,2
6981.json,Says GM used taxpayer dollars to prop up operations in China.,false,let-freedom-ring,none,"china,jobs,message-machine-2012",a Web video,0,2,0,1,0,1
10301.json,There is no good data showing secondhand smoke kills people.,false,john-stossel,libertarian,"public-health,science","an interview on ""Fox and Friends""",0,1,0,0,0,1
6427.json,"In June 2012 we actually had more people go on Social Security Disability [85,000] ... than the 80,000 jobs that were created.",true,allen-west,republican,"economy,jobs,social-security",a radio interview,4,9,6,3,1,5
12548.json,"Says Donald Trump has bankrupted his companies not once, not twice but four times.",mostly-true,hillary-clinton,democrat,candidates-biography,a speech on the economy,7,29,40,69,76,4
1858.json,"""For now, we are still below average in the metro region.""",true,francis-kungu,none,government-efficiency,a presentation,0,0,0,0,0,5
410.json,"Obama says America is great, but let's ""try to change it.""",pants-fire,blog-posting,none,patriotism,a blog posting,44,19,7,3,5,0
264.json,"""Ronald Reagan did amnesty.""",true,rudy-giuliani,republican,immigration,"a debate in Manchester, N.H.",3,11,9,10,7,5
10334.json,"We have a system now where in 40 states, the highest-paid public employee is the state universitys head football or basketball coach.",mostly-true,jim-moran,democrat,"education,sports,state-budget",a Facebook post,1,1,2,1,6,4
2974.json,Every student paying out-of-state tuition actually covers more than the cost of instruction.,true,james-jolly,none,immigration,a University of Georgia System newsletter,0,0,0,0,0,5
957.json,"In eighth grade math, weve fallen to ninth place.",false,barack-obama,democrat,education,a speech on education,9,71,70,160,163,1
10300.json,The authors of a report on CIAs torture techniques never interviewed a single CIA official.,half-true,marco-rubio,republican,"homeland-security,human-rights,terrorism",a news release,5,24,33,32,35,3
13377.json,Says U.S. Sen. Ron Johnson doesnt even believe that theres a man-made role in climate change.,mostly-true,russ-feingold,democrat,environment,a meeting with the Milwaukee Journal Sentinel editorial board.,1,4,2,7,5,4
13130.json,"In Chicago, theyve had thousands of shootings, thousands since Jan. 1. Thousands of shootings.",true,donald-trump,republican,"crime,guns,public-safety",a Presidential debate,61,114,63,51,37,5
10634.json,"Many of the alarmists on global warming, theyve got a problem because the science doesnt back them up. In particular, satellite data demonstrate for the last 17 years, theres been zero warming.",barely-true,ted-cruz,republican,"climate-change,science","an interview on ""Late Night with Seth Meyers""",8,33,36,15,19,2
8010.json,"Texas ranks: #1 in worker deaths, #1 carbon emissions, #50 in high school graduates, #50 in funding for mental health patients.",half-true,facebook-posts,none,"climate-change,education,energy,environment,health-care,states,workers",a fake Rick Perry 2016 poster.,36,18,14,15,11,3
8322.json,Warren Buffett says stop Obamacare now and start over.,pants-fire,tom-graves,republican,health-care,an ABC News interview,1,0,1,5,0,0
1981.json,"""In her first appellate argument, Ms. Kagan told the court that the speech and press guarantees in the First Amendment would allow the federal government to ban the publication of pamphlets discussing political issues before an election.""",half-true,jeff-sessions,republican,"campaign-finance,elections,kagan-nomination",the Kagan confirmation hearing,0,2,2,2,1,3
455.json,"During the Monica Lewinsky scandal, the Clintons brought the Rev. Jeremiah Wright to the White House for ""spiritual counseling.""",false,michael-moore,none,candidates-biography,MichaelMoore.com,0,5,2,1,6,1
5098.json,President Obama has raised taxes 19 times.,half-true,mitt-romney,republican,taxes,an e-mail to the Los Angeles Times,19,32,34,58,33,3
11115.json,(Hillary Clintons State Department) actually admonished one of her ambassadors because he wasnt using the proper server.,true,rand-paul,republican,"technology,transparency","an interview on ""Fox News Sunday""",3,8,7,10,12,5
12951.json,Says Hillary Clinton abided by the ethics agreement between the Clinton Foundation and the Obama administration.,barely-true,jennifer-granholm,democrat,ethics,an interview on CNN,0,0,1,3,2,2
11090.json,"Georgia has more than 700 law enforcement agencies, and fewer than 20 percent of them are state-certified.",mostly-true,police-chief-billy-grogan,none,"crime,public-safety",press release,0,0,0,0,1,4
2513.json,"Jobs incentive program created over 1,200 high-wage jobs since 2009.",false,tammy-hall,none,"county-budget,economy",a campaign mailer,0,1,0,0,0,1
7203.json,"Even hunters are restricted from using large capacity magazines: there is a five cartridge limit for large game hunting, and three for bird hunting.",true,ginny-burdick,democrat,"guns,recreation",an email,0,0,0,0,0,5
1997.json,I have filed every disclosure that has ever been required.,true,gail-buckner,democrat,ethics,political debate,0,0,0,0,0,5
908.json,"Energy nominee Steven Chu has called coal ""his worst nightmare.""",mostly-true,james-inhofe,republican,energy,in a news release,0,1,0,0,1,4
1657.json,"The Florida House is ""holding the FINAL public hearing"" of a controversial education bill in the middle of spring break...""when they hope (teachers) are not watching or listening.""",false,florida-education-association,none,education,a statement on the group's Web site,0,2,0,0,0,1
6695.json,Says Republican U.S. Rep. Sean Duffy voted against paying our soldiers and against increasing combat pay while voting to protect his own pay.,false,democratic-congressional-campaign-committee,democrat,"congressional-rules,federal-budget,message-machine-2012,military",a TV ad,9,8,11,5,1,1
13287.json,"Back in the Great Recession, when millions of jobs across America hung in the balance, Donald Trump said rescuing the auto industry didnt really matter very much. He said, and I quote again, Let it go.",pants-fire,hillary-clinton,democrat,"bankruptcy,candidates-biography,jobs",a rally in Detroit,7,29,40,69,76,0
9690.json,"We would create thousands of jobs in Colorado, if the Keystone Pipeline were to be built.",barely-true,cory-gardner,republican,"climate-change,energy,environment,government-regulation",an interview on Univision Radio,0,1,4,0,0,2
12121.json,"Out of 67 counties (in Florida), I won 66, which is unprecedented. Its never happened before.",pants-fire,donald-trump,republican,elections,a press conference,61,114,63,51,37,0
8648.json,Gov. Charlie Crist sought for and got approved the automatic restoration of felon rights for nonviolent offenders for the first time in Florida history.,false,dan-gelber,democrat,"civil-rights,crime,elections",Charlie Crist's campaign website,0,2,2,1,3,1
4030.json,One of the reasons that Budweiser stayed in New Jersey is the money they got from RGGI to put solar on their roof to save on their energy costs.,false,jeff-tittel,none,"cap-and-trade,climate-change,corporations,environment",testimony to the General Assembly Telecommunications and Utilities committee,1,1,0,1,0,1
13080.json,"Within just a few years, immigration as a share of national population is set to break all historical records.",mostly-true,donald-trump,republican,immigration,a speech in Arizona,61,114,63,51,37,4
11768.json,Hostages were released as soon as Ronald Reagan took office because Iran perceived that America was no longer under the command of someone weak.,pants-fire,marco-rubio,republican,foreign-policy,"an interview on ""Meet the Press""",5,24,33,32,35,0
337.json,"In the Florida Republican primary, ""we got a very large percentage of the, quote, conservative vote.""",barely-true,john-mccain,republican,elections,"an interview on ""Face the Nation""",8,39,31,31,37,2
6342.json,I ended up my time as governor with a general fund budget that was smaller than the one I started with.,true,tim-kaine,democrat,state-budget,a debate.,0,3,8,15,15,5
3359.json,Texas would have to increase current state spending by 28 percent just to reach the national average for spending per resident.,true,scott-mccown,democrat,state-budget,a letter.,0,0,0,0,0,5
2427.json,"Speaker Pelosi ... has been busy sticking the taxpayer with her $100,000 bar tab for alcohol on the military jets that shes flying.",pants-fire,michele-bachmann,republican,"ethics,government-efficiency",a speech to the Values Voter Summit,16,22,8,6,4,0
2661.json,"In the past two years, Democrats have spent more money than this country has spent in the last 200 years combined.",pants-fire,eric-cantor,republican,"federal-budget,history",an interview on Comedy Central's Daily Show with Jon Stewart,4,6,9,4,4,0
8081.json,Rhode Island has the highest percentage of lawyers per capita in the country.,false,helio-melo,democrat,legal-issues,a newspaper interview,1,1,0,0,0,1
11330.json,"When Carly Fiorina says Hewlett-Packard revenues went up, thats because she bought Compaq. It was a terrible deal.",mostly-true,donald-trump,republican,"candidates-biography,job-accomplishments,technology",the second GOP primary debate,61,114,63,51,37,4
6299.json,"A study showed that President Barack Obamas health-care reforms will devastate Wisconsin by pushing people off employer-sponsored insurance, driving up premiums, increasing dependency and making 122,000 people ineligible for Medicaid.",false,scott-walker,republican,"federal-budget,health-care,medicaid,medicare,state-budget,states",an op-ed piece,11,41,26,32,40,1
9655.json,"Between June 30 and July 10, CNN interviewed 17 Israeli public officials versus onePalestinian official.",half-true,rula-jebreal,none,"foreign-policy,israel",comments on MSNBC,0,0,0,1,1,3
11883.json,"Were spending tremendous amounts of money to educate our kids. In the world, were No. 1 per pupil by a factor of four.",barely-true,donald-trump,republican,education,comments at the University of Iowa,61,114,63,51,37,2
1433.json,"""Because of the steps we took, there are about 2 million Americans working right now who would otherwise be unemployed.""",half-true,barack-obama,democrat,"economy,stimulus",his State of the Union address,9,71,70,160,163,3
627.json,"The musical Mamma Mia! has ""been selling out for years.""",true,john-mccain,republican,pop-culture,"a town hall in Aspen, Colo.",8,39,31,31,37,5
263.json,"""Sen. Obama's chair in New Hampshire is a lobbyist. He lobbies for the drug companies.""",true,hillary-clinton,democrat,ethics,"a debate in Manchester, N.H.",7,29,40,69,76,5
103.json,"""I have not changed my position on the (gay) marriage amendment or anything else related to marriage.""",half-true,mitt-romney,republican,"families,gays-and-lesbians",an interview on MSNBC,19,32,34,58,33,3
2981.json,"TSA started off with 16,500 screeners and the agency has mushroomed to 67,000 employees with 3,590 administrative people ... making over $105,000 per year on average.",half-true,john-mica,republican,"homeland-security,transportation",a Fox News interview.,1,1,0,1,1,3
2901.json,"Last year, Beaverton School District had the highest number of homeless students ever recorded in Oregon.",false,city-beaverton,none,"education,housing",a press release,0,2,0,0,0,1
2842.json,The dollar has fallen over 44% since Bernanke began pumping money into the system beginning back in 2002.,half-true,virginia-tea-party-patriots,none,economy,a letter to Congress.,0,0,0,2,0,3
10641.json,"The IAEA, or the International Atomic Energy Agency, last month said the Iranians are not currently living up to their obligations.",mostly-true,liz-cheney,republican,"israel,nuclear","comments on ""Fox News Sunday""",0,1,0,0,1,4
7915.json,The Wisconsin Economic Development Corp. cannot account for creating one single job.,barely-true,chris-larson,democrat,jobs,an interview,1,5,6,0,1,2
4049.json,Voted the best specialty plate in America,barely-true,friends-plum-beach-lighthouse,organization,"pop-culture,states,transportation",A highway billboard,0,0,1,0,0,2
1807.json,"""Minnick voted to let the government fund abortion under Obamacare.""",false,national-republican-congressional-committee,republican,"abortion,health-care,message-machine",a TV ad,8,9,18,8,5,1
10614.json,"The delay inschool testingwas not that of a vendor, the problem was not that of the test materials itself,it was the product of a cyber attack.",barely-true,h-marlene-otoole,republican,education,House Education Appropriations Committee Hearing,0,0,1,0,0,2
1996.json,"""Today, we have more boots on the ground near the Southwest border than at any time in our history.""",mostly-true,barack-obama,democrat,immigration,a speech,9,71,70,160,163,4
9357.json,Cap and trade legislation was originally a Republican idea.,mostly-true,debbie-wasserman-schultz,democrat,"climate-change,environment",in a question and answer after a speech,3,9,7,8,15,4
10071.json,"Says Rick Scott changed his promise from700,000 jobs created on top of what normal growth would be to just 700,000 jobs.",true,charlie-crist,democrat,"economy,jobs",a campaign ad,2,9,15,20,19,5
5978.json,Says Democratic legislators this year dont want to cut your taxes under any circumstances.,pants-fire,chris-christie,republican,taxes,a video posted on YouTube,8,17,10,27,19,0
8026.json,"Guess what, governor? Theres no fried butter in Newark. Just 13 percent unemployment.",true,barbara-buono,democrat,jobs,an online gubernatorial campaign ad,1,1,3,4,4,5
8860.json,Virginia is the No. 1 recipient of federal dollars.,barely-true,terry-mcauliffe,democrat,"economy,federal-budget,state-budget,states",a speech.,3,6,12,2,2,2
8649.json,Says Nelson Mandela was a communist.,mostly-true,bill-oreilly,none,"foreign-policy,history","an exchange on Fox's ""The O'Reilly Factor""",1,6,4,3,5,4
3743.json,(Bill) Nelson voted for billions in wasteful spending earmarks like the Bridge to Nowhere.,mostly-true,george-lemieux,republican,"federal-budget,transportation",a Web ad,0,1,4,6,4,4
7880.json,"We (Georgia) collect fewer state taxes per capita than any other state although state taxes are low, Georgia is the eighth-most-dependent state on the federal government.",mostly-true,jason-carter,democrat,taxes,a meeting,0,0,1,2,1,4
8504.json,Only 14 percent of Americans were able to keep these individual market plans for two years before Obamacare became law.,half-true,van-jones,democrat,health-care,"a panel on ABC's ""This Week""",0,1,0,2,2,3
1019.json,"""Our government has now 'spent, lent, or committed' $12.8 trillion in its attempt to blunt the recession.""",true,mark-sanford,republican,"economy,stimulus",a commentary piece,0,2,0,0,0,5
3043.json,Members of Congress and their families and staff are exempt from repaying student loans.,pants-fire,chain-email,none,"congressional-rules,education",a chain e-mail,105,43,11,8,5,0
1128.json,"In every committee when the health care bill was considered, Democrats voted against an amendment that would require members of Congress and their staff to take the government-run public option as their health care plan.",mostly-true,newt-gingrich,republican,health-care,an interview with This Week.,11,15,16,20,10,4
11015.json,Says U.S. Sen. Ron Johnson voted to cut $700m from Medicare.,barely-true,moveon,democrat,"federal-budget,medicare,trade",a Facebook post,0,4,2,3,0,2
406.json,"It's ""common knowledge"" that al-Qaida is receiving training from Iran.",false,john-mccain,republican,iraq,"Amman, Jordan",8,39,31,31,37,1
6562.json,Claims Ohio Gov. John Kasich says climate change is a problem.,true,florida-wildlife-federation,none,"climate-change,environment",a billboard message,0,0,0,0,0,5
835.json,"Measures in Barack Obama's health plan could ""lower health care costs for the typical family by $2,500 a year.""",half-true,barack-obama,democrat,health-care,in a television ad,9,71,70,160,163,3
5909.json,Says One-third of our healthcare dollars go to wasteful insurance billing and bureaucracy.,mostly-true,jennifer-williamson,democrat,"health-care,public-health",a campaign mailer,0,0,0,0,1,4
6017.json,No one on my staff has ever been charged with a crime.,false,tom-barrett,democrat,"city-government,crime,job-accomplishments",a debate,3,5,2,8,5,1
9236.json,"In 2013 we had the largest, the best, private sector job growth weve had in this state since the 1990s.",mostly-true,scott-walker,republican,"economy,jobs",a radio interview,11,41,26,32,40,4
3034.json,"In my 12 years in the House, I have watched my district go from a solidly Democratic district to a heavily solid Republican district.",half-true,allan-ritter,republican,bipartisanship,a press conference.,0,0,0,1,0,3
10754.json,Rosalyn Dance voted against President Obamas Medicaid expansion.,barely-true,joe-morrissey,independent,"health-care,state-budget,voting-record",a campaign flier.,0,0,1,1,1,2
13331.json,"Just like Donald Trump, David Jolly wants to outlaw a womans right to choose.",barely-true,dccc-lgo,democrat,abortion,a campaign ad,0,1,1,0,0,2
6709.json,Says he will protect your guaranteed benefits in Medicare while Mitt Romney would take away Medicare as guaranteed benefits.,half-true,barack-obama,democrat,"health-care,medicare,message-machine-2012",a campaign commercial,9,71,70,160,163,3
6200.json,The Medicaid expansion is going to cost Florida $1.9 billion a year.,false,rick-scott,republican,"health-care,medicaid,state-budget",comments on CNBC,7,23,28,38,34,1
6491.json,Says Bill Nelson voted to raise our taxes 150 times.,false,connie-mack,republican,"candidates-biography,taxes",a video on his campaign website,1,3,3,1,3,1
12479.json,Says Donald Trump has the gall to say that prisoners of war like John McCain arent heroes.,half-true,hillary-clinton,democrat,"military,veterans",a national security speech in California,7,29,40,69,76,3
8002.json,"Says Canada has one-tenth of our populationyet it issues far more high-skilled visas (more than 150,000) yearly than we do (65,000).",half-true,jeb-bush,republican,"corrections-and-updates,immigration",a Wall Street Journal op-ed,2,5,17,17,24,3
9722.json,President Barack Obamas latest executive order mandates the apprehension and detention of Americans who merely show signs of respiratory illness.,pants-fire,blog-posting,none,"ebola,public-health",an article posted on Infowars.com,44,19,7,3,5,0
5843.json,"Since 2009, the Ohio Republican Party has made more contacts with voters nearly 6.6 million than any other GOP state organization in the nation.",mostly-true,kevin-dewine,republican,job-accomplishments,a resignation letter,0,0,1,0,1,4
5684.json,"Before this law, any group could go out anywhere, register voters, sit on the voter registration forms for unlimited amount of time.",barely-true,lenny-curry,republican,elections,an interview,0,1,2,2,0,2
5253.json,"Says the New York Giants train in New Jersey, they play in New Jersey and most of their players live in New Jersey.",true,chris-christie,republican,sports,an interview on “Meet the Press”,8,17,10,27,19,5
5997.json,"Access for 12,000 women to use Planned Parenthood -- not for the right to choose, but for basic health care -- was taken away by Wisconsin Gov. Scott Walker and Lt. Gov. Rebecca Kleefisch.",mostly-true,mahlon-mitchell,democrat,"abortion,health-care,public-health,women",an interview,0,0,0,0,1,4
6368.json,Its typical for a presidential candidate to release 10 or 11 years of tax returns.,half-true,bill-clinton,democrat,"candidates-biography,taxes",an interview on 'Today',3,2,4,12,11,3
521.json,"""Did Obama know that Tony Rezko was saving him $300,000 on the purchase of his home?""",false,republican-national-committee-republican,republican,ethics,a news release,2,6,6,11,5,1
8603.json,Says Gov. Scott Walker has dropped Wisconsin to 45th in the nation in job growth prospects while campaigning for president out of state.,barely-true,mike-tate,democrat,"economy,elections,job-accomplishments,jobs",a fund-raising email,0,2,1,2,1,2
3176.json,Says the foreman of the jury that convicted him was a Greenpeace activist.,mostly-true,tom-delay,republican,"bipartisanship,criminal-justice,environment",an interview.,1,0,1,1,1,4
8561.json,The (health care) law does not demand that all of these cancellations go out.,barely-true,nancy-pelosi,democrat,health-care,"an interview on NBC's ""Meet the Press""",3,7,3,11,2,2
8116.json,The federal deficit is growing.,half-true,eric-cantor,republican,"deficit,federal-budget","an interview on ""Fox News Sunday""",4,6,9,4,4,3
4143.json,On opposition to earmarks,true,bill-johnson,republican,"deficit,federal-budget,transportation",an online news story,0,1,2,0,0,5
2778.json,The debt is nearly $6 trillion more than when President Obama was sworn into office.,false,george-allen,republican,"deficit,federal-budget",a newspaper Op/Ed,1,8,2,3,4,1
4662.json,"During my tenure as governor, Wisconsins overall tax burden went DOWN.",mostly-true,tommy-thompson,republican,"state-budget,state-finances,taxes",a campaign fundraising email,3,8,6,2,5,4
4918.json,The Fed created $15 trillion in the bailout process and $5 trillion went overseas.,barely-true,ron-paul,republican,"economy,new-hampshire-2012",a house party in New Hampshire,3,8,5,8,8,2
